rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
ast_serialize-0.8.0/crates/ruff_python_parser/resources/inline/ok/decorator_expression_eval_hack_py38.py,Python,50,ELEVATED,0,0,,,eval/exec found (1 occurrence(s)),dynamic_execution(eval/exec_x1)
ast_serialize-0.8.0/test_ast_serialize.py,Python,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/options.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/reachability.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/func_effect_visitor.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/mypy_inline_config.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/lib.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/serialize_ast.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/src/type_comment.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/src/size.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/src/range.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/src/traits.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/src/serde_impls.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/src/schemars_impls.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/src/lib.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/tests/auto_traits.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/tests/indexing.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/tests/serde.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/tests/constructors.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_text_size/tests/main.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_source_file/src/line_index.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_source_file/src/line_ranges.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_source_file/src/lib.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_source_file/src/newlines.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/examples/multislice.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/examples/footer.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/examples/format.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/examples/expected_type.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/snippet.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/lib.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/renderer/styled_buffer.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/renderer/margin.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/renderer/mod.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/renderer/stylesheet.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/src/renderer/display_list.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/tests/examples.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/tests/formatter.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/tests/rustc_tests.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/tests/fixtures/deserialize.rs,Rust,0,NORMAL,0,0,,,,
ast_serialize-0.8.0/crates/ruff_annotate_snippets/tests/fixtures/main.rs,Rust,0,NORMAL,0,0,,,,
